couple	bande	mod	date	session	ini	restant	predates	tx_pred	annee	code2	code3
3	BE	20m	24/8/17	2	10	0	10	1	2017	3BE20m	3BE
3	BF	00m	24/8/17	2	10	2	8	0.8	2017	3BF00m	3BF
3	BF	00m	24/8/17	2	10	6	4	0.4	2017	3BF00m	3BF
3	BF	00m	24/8/17	2	10	0	10	1	2017	3BF00m	3BF
3	BF	00m	24/8/17	2	10	9	1	0.1	2017	3BF00m	3BF
3	BF	05m	24/8/17	2	10	0	10	1	2017	3BF05m	3BF
3	BF	05m	24/8/17	2	10	0	10	1	2017	3BF05m	3BF
3	BF	05m	24/8/17	2	10	10	0	0	2017	3BF05m	3BF
3	BF	05m	24/8/17	2	10	0	10	1	2017	3BF05m	3BF
3	BF	20m	24/8/17	2	10	2	8	0.8	2017	3BF20m	3BF
3	BF	20m	24/8/17	2	10	3	7	0.7	2017	3BF20m	3BF
3	BF	20m	24/8/17	2	10	2	8	0.8	2017	3BF20m	3BF
3	BF	20m	24/8/17	2	10	0	10	1	2017	3BF20m	3BF
4	BE	00m	22/8/17	2	10	5	5	0.5	2017	4BE00m	4BE
4	BE	00m	22/8/17	2	10	5	5	0.5	2017	4BE00m	4BE
4	BE	00m	22/8/17	2	10	10	0	0	2017	4BE00m	4BE
4	BE	00m	22/8/17	2	10	0	10	1	2017	4BE00m	4BE
4	BE	05m	22/8/17	2	10	10	0	0	2017	4BE05m	4BE
4	BE	05m	22/8/17	2	10	9	1	0.1	2017	4BE05m	4BE
4	BE	05m	22/8/17	2	10	10	0	0	2017	4BE05m	4BE
4	BE	05m	22/8/17	2	10	0	10	1	2017	4BE05m	4BE
4	BE	20m	22/8/17	2	10	10	0	0	2017	4BE20m	4BE
4	BE	20m	22/8/17	2	10	0	10	1	2017	4BE20m	4BE
4	BE	20m	22/8/17	2	10	0	10	1	2017	4BE20m	4BE
4	BE	20m	22/8/17	2	10	9	1	0.1	2017	4BE20m	4BE
4	BF	00m	22/8/17	2	10	6	4	0.4	2017	4BF00m	4BF
4	BF	00m	22/8/17	2	10	0	10	1	2017	4BF00m	4BF
